city,timestamp,pm2_5,pm10,no2,so2,o3,co,temp_c,humidity,windspeed_kph,pressure_mb
Delhi,1772622000,45.86,117.92,4.56,3.57,122.58,221.65,31.13,12,10.296,1007
Delhi,1772625600,45.63,111.98,8.11,3.38,107.33,254.49,31.13,12,10.296,1007
Delhi,1772629200,45.83,107.66,12.54,3.34,88.41,297.02,31.13,12,10.296,1007
Delhi,1772632800,47.01,105.28,15.06,3.46,72.92,344.72,31.13,12,10.296,1007
Delhi,1772636400,48.11,104.02,16.31,3.55,64.13,380.65,31.13,12,10.296,1007
Delhi,1772640000,47.98,101.33,16.28,3.47,58.3,395.73,31.13,12,10.296,1007
Delhi,1772643600,48.28,101.1,15.95,3.32,55.59,404.76,31.13,12,10.296,1007
Delhi,1772647200,48.11,101.18,15.07,2.96,55.22,397.26,31.13,12,10.296,1007
Delhi,1772650800,46.99,100.5,13.0,2.46,56.87,367.13,31.13,12,10.296,1007
Delhi,1772654400,46.43,102.19,10.51,2.18,60.1,337.91,31.13,12,10.296,1007
Delhi,1772658000,46.25,105.79,8.24,2.04,64.51,309.35,31.13,12,10.296,1007
Delhi,1772661600,46.31,110.84,6.46,1.99,69.27,282.04,31.13,12,10.296,1007
Delhi,1772665200,46.82,116.26,5.33,1.99,72.46,262.09,31.13,12,10.296,1007
Delhi,1772668800,47.64,122.72,4.82,2.11,74.45,247.33,31.13,12,10.296,1007
Delhi,1772672400,48.87,130.43,5.2,2.47,74.16,242.43,31.13,12,10.296,1007
Delhi,1772676000,50.69,140.49,6.96,3.17,70.78,253.24,31.13,12,10.296,1007
Delhi,1772679600,52.71,154.27,7.99,3.9,70.95,260.57,31.13,12,10.296,1007
Delhi,1772683200,54.54,168.77,6.33,4.58,79.99,246.56,31.13,12,10.296,1007
Delhi,1772686800,56.21,172.02,4.85,5.13,90.69,239.39,31.13,12,10.296,1007
Delhi,1772690400,59.55,170.22,3.17,5.88,110.88,232.81,31.13,12,10.296,1007
Delhi,1772694000,59.54,153.1,1.73,6.7,136.26,221.62,31.13,12,10.296,1007
Delhi,1772697600,56.49,136.45,1.43,5.82,140.92,212.05,31.13,12,10.296,1007
Delhi,1772701200,54.58,127.33,1.47,5.25,142.1,208.07,31.13,12,10.296,1007
Delhi,1772704800,54.96,122.94,2.52,4.92,137.36,221.01,31.13,12,10.296,1007
Delhi,1772708400,55.85,119.81,4.85,4.56,124.66,248.91,31.13,12,10.296,1007
Delhi,1772712000,56.35,118.16,8.6,4.35,109.41,281.58,31.13,12,10.296,1007
Delhi,1772715600,57.25,116.77,14.14,4.19,85.65,335.13,31.13,12,10.296,1007
Delhi,1772719200,59.24,117.98,17.52,4.11,66.63,396.84,31.13,12,10.296,1007
Delhi,1772722800,60.68,120.25,18.84,4.0,56.69,437.18,31.13,12,10.296,1007
Delhi,1772726400,60.25,119.13,18.7,3.72,49.87,452.39,31.13,12,10.296,1007
Delhi,1772730000,59.83,117.68,17.99,3.4,46.08,457.14,31.13,12,10.296,1007
Delhi,1772733600,58.04,114.27,16.54,3.0,45.43,436.41,31.13,12,10.296,1007
Delhi,1772737200,54.49,109.22,13.8,2.49,47.0,388.55,31.13,12,10.296,1007
Delhi,1772740800,52.08,106.64,11.31,2.15,48.48,351.99,31.13,12,10.296,1007
Delhi,1772744400,50.2,106.0,9.22,1.96,50.42,321.99,31.13,12,10.296,1007
Delhi,1772748000,48.73,106.75,7.67,1.83,52.73,297.45,31.13,12,10.296,1007
Delhi,1772751600,48.08,106.87,6.9,1.69,52.32,285.25,31.13,12,10.296,1007
